ORIG_STD_VOLUME,STD_VOLUME,ORIG_TEMPERATURE,TEMPERATURE,PRESSURE,ORIG_PRESSURE,ORIG_RAW_VOLUME,RAW_VOLUME,EFFECTIVE_DATE
0.1748241002727446,0.1739855376969554,1.1096448952576312,1.1096448952576312,0.18813089805397643,0.18813089805397643,0.14137911631803446,0.14055355118016774,2021-01-28 19:00:00
0.3366601310027719,0.3356143612867668,1.0552513836922244,1.0552513836922244,0.1889659174679064,0.1889659174679064,0.3094507838082022,0.30840087747477113,2021-01-28 20:00:00
0.26199405942975657,0.2610438885930122,1.032846858778186,1.032846858778186,0.19207857113673593,0.19207857113673593,0.2296591840906478,0.22871578317329277,2021-01-28 21:00:00
0.7517891987914835,0.7502119176032248,1.0109633693272424,1.0109633693272424,-0.4850237362715776,-0.4850237362715776,0.8051773182236465,0.8034657186669348,2021-01-28 22:00:00
0.41990029691909525,0.418747950462096,1.010761863899551,1.010761863899551,-0.7097016631987877,-0.7097016631987877,0.46903398324331097,0.46777106607772795,2021-01-28 23:00:00
0.619605244332086,0.6181972051788821,1.005796914092846,1.005796914092846,-0.6775432326007842,-0.6775432326007842,0.6795479910087736,0.6780040808305645,2021-01-29 00:00:00
0.5167161122123324,0.5154398073999281,0.9923298745606508,0.9923298745606508,0.015098582436344475,0.015098582436344475,0.5080809362965822,0.5067658994593025,2021-01-29 01:00:00
0.6471137970168759,0.6456705372239444,0.9821178673484126,0.9821178673484126,0.16798520609724674,0.16798520609724674,0.6337102635114551,0.6322275372956727,2021-01-29 02:00:00
0.5695896939960947,0.5682456923696684,0.9629568601585093,0.9629568601585093,0.14989651318431207,0.14989651318431207,0.552220970182889,0.550847015455865,2021-01-29 03:00:00
0.7203508528660056,0.7188138238374355,0.9426782175069571,0.9426782175069571,0.14022929655524594,0.14022929655524594,0.7118041696179978,0.7102172040588218,2021-01-29 04:00:00
0.9175550227621937,0.9157655029137578,0.9450574208786032,0.9450574208786032,0.12397357308755781,0.12397357308755781,0.9189227901614367,0.9170593637349997,2021-01-29 05:00:00
